X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 44,0.19172,0.19093086,0.019869998,0.19172,5.169925,-0.028091578
variable 1,variable 37,0.19125,0.18372259,0.031070009,0.19125,5.169925,0.08676068
variable 1,variable 109,0.19087,-0.18423276,0.0,-3.4028235E38,2.0,0.6124563
variable 1,variable 140,0.18999,0.18697092,0.020910002,0.18999,5.169925,-0.05494619
variable 1,variable 98,0.18076,0.17685625,0.030330002,0.18076,4.807355,-0.062480006
variable 1,variable 42,0.17979,0.17346501,0.026119998,0.17979,5.0,0.07952981
variable 1,variable 17,0.17591,0.17239669,0.019809999,0.16611,5.0,-0.059273127
variable 1,variable 66,0.17486,0.17441979,0.015979998,0.17486,5.169925,0.020981008
variable 1,variable 31,0.17427,0.16956274,0.03061001,0.17427,5.169925,-0.06860951
variable 1,variable 28,0.17235,0.15682614,0.02533,0.17235,5.169925,-0.12459484
variable 1,variable 7,0.16997,0.1647082,0.07005001,0.16997,5.087463,0.07253828
variable 1,variable 40,0.16741,0.16597755,0.017020002,0.16741,5.0,-0.037847705
variable 1,variable 11,0.16644,0.16634668,0.016659997,0.16644,5.087463,0.009659402
variable 1,variable 86,0.16069,0.1604984,0.12713999,0.16069,4.807355,0.01384176
variable 1,variable 71,0.16009,0.14009744,0.02713,0.16009,5.169925,0.14139506
variable 1,variable 39,0.15376,0.14492719,0.03007,0.15376,5.169925,0.09398302
variable 1,variable 30,0.15342,0.15158036,0.019480005,0.15342,5.169925,-0.04289097
variable 1,variable 38,0.15059,0.1416517,0.010749996,0.15059,5.169925,0.09454257
variable 1,variable 2,0.14821,0.14748335,0.02257,0.14821,5.087463,0.026956541
variable 1,variable 99,0.14616,0.13855228,0.10253,0.14616,3.807355,0.08722231
variable 1,variable 104,0.14616,0.107314415,0.02096,0.14616,3.807355,0.19709285
variable 1,variable 95,0.14585,0.13558906,0.124340005,0.14585,4.807355,0.10129627
variable 1,variable 94,0.14524,0.13088648,0.026669994,0.14524,3.807355,0.11980613
variable 1,variable 100,0.14524,0.09499612,0.029039994,0.14524,3.807355,0.22415146
variable 1,variable 103,0.03438,2.816692E-5,0.01403,0.03438,2.5849626,0.18534248
