X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 86,0.19427,0.19366947,0.16493,0.19427,4.807355,-0.024505801
variable 1,variable 27,0.1939,0.19385564,0.032360002,0.1939,5.169925,0.006660868
variable 1,variable 127,0.1912,0.19039597,0.044430003,0.1912,4.5849624,-0.028355606
variable 1,variable 40,0.1897,0.17986895,0.030420005,0.1897,5.0,-0.09915169
variable 1,variable 5,0.18677,0.1864392,0.0074600056,0.18677,5.087463,0.018187921
variable 1,variable 68,0.18519,0.16835597,0.12850001,0.18519,5.169925,-0.12974602
variable 1,variable 37,0.18469,0.12223292,0.022179998,0.18469,5.169925,0.24991414
variable 1,variable 41,0.18448,0.14192969,0.046389997,0.18448,5.169925,-0.20627725
variable 1,variable 42,0.18395,0.17802417,0.023120008,0.18395,5.0,0.076979406
variable 1,variable 31,0.18382,0.17298384,0.032299995,0.18382,5.169925,0.10409686
variable 1,variable 10,0.18215,0.16097252,0.029850006,0.18215,4.9068904,-0.14552484
variable 1,variable 130,0.18168,0.17154558,0.040649995,0.18168,4.5849624,0.1006698
variable 1,variable 39,0.18045,0.1270497,0.050220013,0.18045,5.169925,0.23108508
variable 1,variable 38,0.17934,0.110445134,0.06193001,0.17934,5.169925,0.26247832
variable 1,variable 44,0.17794,0.17438059,0.031979993,0.17794,5.169925,-0.05966082
variable 1,variable 126,0.17619,0.14826933,0.056440003,0.17619,4.5849624,-0.1670948
variable 1,variable 28,0.17607,0.15821347,0.017090008,0.17607,5.169925,-0.13362838
variable 1,variable 125,0.17459,0.119111836,0.045310006,0.17459,4.5849624,-0.23553804
variable 1,variable 7,0.16574,0.15398072,0.05263,0.16574,5.087463,0.10844024
variable 1,variable 29,0.16536,0.14968276,0.01309,0.16536,5.169925,-0.12520882
variable 1,variable 35,0.16163,0.020110205,0.03119,0.16163,5.169925,0.37619117
variable 1,variable 2,0.15849,0.15386282,0.0071199983,0.15849,5.087463,-0.06802342
variable 1,variable 71,0.15689,0.15033032,0.01503,0.15689,5.169925,0.08099186
variable 1,variable 34,0.155,-0.02678354,0.03248,0.155,5.169925,0.42636082
variable 1,variable 95,0.1502,0.1495369,0.13927999,0.1502,4.807355,-0.025750754
variable 1,variable 30,0.1481,0.14592402,0.020229999,0.1481,5.169925,0.046647493
variable 1,variable 109,0.09328,-0.07520279,0.0,-3.4028235E38,2.0,0.41046655
variable 1,variable 103,0.03438,0.034280397,0.028280001,0.03438,2.5849626,-0.009980103
