X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 96,0.28233,0.27717826,0.16016,0.28233,3.807355,0.07177564
variable 1,variable 43,0.27948,0.21293399,0.033170015,0.26935,5.169925,0.25796518
variable 1,variable 75,0.27698,0.13785508,0.02663,0.27698,5.169925,-0.37299454
variable 1,variable 140,0.27678,0.27501202,0.106840014,0.27678,5.169925,0.04204763
variable 1,variable 15,0.27612,0.21541168,0.03637001,0.27612,4.9068904,-0.24639061
variable 1,variable 21,0.2753,0.14603235,0.035449997,0.2753,5.169925,0.3595381
variable 1,variable 4,0.27442,0.22820532,0.04430999,0.27442,5.087463,-0.21497597
variable 1,variable 19,0.27026,0.1537495,0.08202,0.27026,5.169925,0.34133637
variable 1,variable 8,0.26793,0.19407627,0.02561,0.26793,5.087463,0.27176043
variable 1,variable 13,0.2648,0.19128694,0.042540014,0.2648,5.087463,-0.27113295
variable 1,variable 24,0.26147,0.21487442,0.02689001,0.26147,5.169925,-0.2158601
variable 1,variable 6,0.25808,0.19639778,0.0145799965,0.25808,5.087463,-0.24835907
variable 1,variable 87,0.25498,0.25236562,0.13406,0.25498,3.807355,0.05113104
variable 1,variable 81,0.24605,0.23953176,0.041940004,0.24605,5.169925,-0.08073568
variable 1,variable 38,0.23257,0.19381663,0.10407001,0.23257,5.169925,0.19685875
variable 1,variable 99,0.23077,0.2307439,0.19873,0.23077,3.807355,-0.005109981
variable 1,variable 104,0.23077,0.20970023,0.09069,0.23077,3.807355,0.14515436
variable 1,variable 90,0.22359,0.21560061,0.028450005,0.22359,3.807355,0.08938341
variable 1,variable 98,0.21885,0.20109011,0.05597,0.21885,4.807355,-0.13326621
variable 1,variable 66,0.218,0.19800273,0.020880014,0.218,5.169925,0.14141169
variable 1,variable 85,0.21792,0.21787854,0.045070007,0.21792,3.807355,0.006439475
variable 1,variable 89,0.21792,0.21609262,0.15901001,0.21792,3.807355,-0.042747997
variable 1,variable 26,0.21508,0.15173948,0.06810999,0.21508,5.169925,0.25167543
variable 1,variable 3,0.21302,0.18391618,0.015630003,0.21302,5.087463,-0.1705984
