X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 111,0.19087,0.07295328,0.0,-3.4028235E38,2.0,0.34339005
variable 1,variable 123,0.18872,0.0949702,0.0,-3.4028235E38,2.0,0.3061859
variable 1,variable 98,0.18727,0.18723522,0.04265,0.18727,4.807355,-0.0058977543
variable 1,variable 10,0.18648,0.17792027,0.06217,0.18648,4.9068904,-0.092518866
variable 1,variable 38,0.18528,0.17292763,0.045180008,0.18528,5.169925,0.11114118
variable 1,variable 7,0.18248,0.17516159,0.09402001,0.18248,5.087463,0.08554781
variable 1,variable 29,0.18155,0.17946787,0.038209997,0.18155,5.169925,-0.04563027
variable 1,variable 17,0.18145,0.18019749,0.010739997,0.17127,5.0,-0.03539063
variable 1,variable 26,0.17837,0.17802718,0.04626,0.17837,5.169925,0.018515274
variable 1,variable 41,0.17669,0.17581107,0.027589992,0.17669,5.169925,0.029646825
variable 1,variable 94,0.1765,0.17148478,0.056069992,0.1765,3.807355,0.07081812
variable 1,variable 100,0.1765,0.15104677,0.0444,0.1765,3.807355,0.15954067
variable 1,variable 68,0.1764,0.17639726,0.15452,0.1764,5.169925,-0.0016568807
variable 1,variable 66,0.17564,0.17097203,0.034020007,0.17564,5.169925,-0.068322554
variable 1,variable 35,0.17297,0.14899363,0.02414,0.17297,5.169925,0.15484303
variable 1,variable 36,0.17292,0.1648465,0.020849995,0.17292,5.169925,0.08985274
variable 1,variable 40,0.17103,0.17100856,0.032139994,0.17103,5.0,-0.0046306136
variable 1,variable 2,0.17006,0.16936283,0.039519995,0.17006,5.087463,-0.026404032
variable 1,variable 86,0.1682,0.16785221,0.14496,0.1682,4.807355,0.018649299
variable 1,variable 28,0.16757,0.15897498,0.018649995,0.16757,5.169925,-0.0927093
variable 1,variable 31,0.16566,0.16281135,0.011239991,0.16566,5.169925,-0.053372674
variable 1,variable 99,0.16313,0.15052311,0.11292,0.16313,3.807355,0.11228043
variable 1,variable 104,0.16313,0.1514986,0.021250002,0.16313,3.807355,0.107848994
variable 1,variable 11,0.16273,0.1623158,0.015689999,0.16273,5.087463,0.020351795
variable 1,variable 30,0.15689,0.15654524,0.021860003,0.15689,5.169925,-0.01856805
variable 1,variable 71,0.14701,0.11541645,0.01495,0.14701,5.169925,0.17774574
variable 1,variable 95,0.14336,0.13034737,0.12369,0.14336,4.807355,0.1140729
variable 1,variable 109,0.09328,-0.07726456,0.0,-3.4028235E38,2.0,0.41297042
variable 1,variable 103,0.03449,0.0036996584,0.01694,0.03449,2.5849626,0.17547177
