X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 130,0.21883,0.17139915,0.09696,0.21883,4.5849624,0.21778628
variable 1,variable 25,0.21402,0.20133686,0.08147,0.2065,5.169925,-0.11261945
variable 1,variable 96,0.21053,0.20486142,0.051809996,0.21053,3.807355,-0.07528995
variable 1,variable 126,0.2076,0.20754902,0.1017,0.2076,4.5849624,0.007140165
variable 1,variable 94,0.20648,0.20326439,0.08829,0.20648,3.807355,0.056706373
variable 1,variable 100,0.20648,0.18644632,0.07743999,0.20648,3.807355,0.14154038
variable 1,variable 125,0.20626,0.20203626,0.092159994,0.20626,4.5849624,-0.0649903
variable 1,variable 140,0.20592,0.20285143,0.026209999,0.20592,5.169925,-0.055394705
variable 1,variable 29,0.20582,0.20164035,0.06019999,0.20582,5.169925,-0.06465014
variable 1,variable 61,0.20462,0.19586267,0.03864999,0.20462,5.169925,-0.09358067
variable 1,variable 32,0.20243,0.17340834,0.041319996,0.20243,5.169925,0.1703574
variable 1,variable 35,0.20086,0.19074853,0.042739995,0.20086,5.169925,0.10055581
variable 1,variable 37,0.19888,0.1851383,0.03988999,0.19888,5.169925,0.117225
variable 1,variable 90,0.19449,0.18838982,0.028900005,0.19449,3.807355,0.078103594
variable 1,variable 99,0.19425,0.18741526,0.14089,0.19425,3.807355,0.08267249
variable 1,variable 104,0.19425,0.18360904,0.056669995,0.19425,3.807355,0.10315504
variable 1,variable 10,0.19409,0.18275614,0.06993999,0.19409,4.9068904,-0.10646056
variable 1,variable 34,0.19407,0.17978787,0.024010003,0.19407,5.169925,0.11950781
variable 1,variable 38,0.19303,0.1874589,0.029719993,0.19303,5.169925,0.07463983
variable 1,variable 42,0.19293,0.18557134,0.039079994,0.19293,5.0,0.08578262
variable 1,variable 39,0.19098,0.1838416,0.031230003,0.19098,5.169925,0.08448909
variable 1,variable 109,0.19087,-0.090597376,0.0,-3.4028235E38,2.0,0.530535
variable 1,variable 2,0.19036,0.18216097,0.040710002,0.19036,5.087463,-0.09054844
variable 1,variable 123,0.18872,0.13620779,0.0,-3.4028235E38,2.0,0.22915545
variable 1,variable 68,0.18821,0.18761955,0.16416,0.18821,5.169925,-0.02429917
variable 1,variable 85,0.18743,0.18660408,0.021820001,0.18743,3.807355,0.028738609
variable 1,variable 28,0.18658,0.17484188,0.021799996,0.18658,5.169925,-0.10834259
variable 1,variable 44,0.18653,0.1856896,0.05073999,0.18653,5.169925,-0.02898947
variable 1,variable 18,0.18631,0.18546593,0.0048800036,0.17377,5.0,-0.029052624
variable 1,variable 89,0.18173,0.18152294,0.14325,0.18173,3.807355,0.01438958
variable 1,variable 93,0.18173,0.17897017,0.03152001,0.18173,3.807355,0.052534133
variable 1,variable 17,0.18165,0.17923723,0.030829996,0.17145,5.0,-0.049119916
variable 1,variable 27,0.17957,0.16367559,0.048729993,0.17957,5.169925,-0.12607306
variable 1,variable 81,0.1776,0.17025322,0.030169994,0.1776,5.169925,0.08571331
variable 1,variable 66,0.17717,0.17655459,0.035219997,0.17717,5.169925,0.02480731
variable 1,variable 31,0.17712,0.17587794,0.037139997,0.17712,5.169925,-0.03524275
variable 1,variable 87,0.1725,0.17118554,0.05324,0.1725,3.807355,0.036255553
variable 1,variable 36,0.17199,0.1515386,0.01134,0.17199,5.169925,0.14300841
variable 1,variable 30,0.17148,0.17138374,0.0316,0.17148,5.169925,-0.009811527
variable 1,variable 41,0.17096,0.17095599,0.013290003,0.17096,5.169925,0.0020002632
variable 1,variable 33,0.17083,0.14878568,0.021190003,0.17083,5.169925,0.14847326
variable 1,variable 11,0.16649,0.15755737,0.016010001,0.16649,5.087463,0.09451259
variable 1,variable 40,0.16464,0.16442071,0.015979998,0.16464,5.0,-0.014808152
variable 1,variable 26,0.16389,0.16079503,0.04169,0.16389,5.169925,0.055632498
variable 1,variable 95,0.16152,0.14886414,0.12714,0.16152,4.807355,0.11249832
variable 1,variable 7,0.15757,0.15008657,0.07291,0.15757,5.087463,0.08650686
variable 1,variable 71,0.15757,0.13752832,0.029500004,0.15757,5.169925,0.14156868
variable 1,variable 98,0.14844,0.14656708,0.031219997,0.14844,4.807355,-0.043277334
variable 1,variable 86,0.14695,0.14678608,0.11976001,0.14695,4.807355,0.012803683
variable 1,variable 103,0.03438,-0.013715647,0.0,0.03438,2.0,0.2193072
