X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 87,0.21138,0.20922567,0.08924001,0.21138,3.807355,0.046414826
variable 1,variable 18,0.20984,0.19269459,0.013339996,0.20063,5.0,-0.13094047
variable 1,variable 58,0.20906,0.167539,0.132,0.20906,5.169925,-0.20376703
variable 1,variable 63,0.2082,0.13613029,0.12232,0.2082,5.169925,-0.268458
variable 1,variable 40,0.20729,0.19535723,0.02618,0.20729,5.0,-0.109237164
variable 1,variable 32,0.20491,0.03652522,0.040139988,0.20491,5.169925,0.41034713
variable 1,variable 36,0.2045,0.12378908,0.024100006,0.2045,5.169925,0.2840967
variable 1,variable 98,0.2045,0.18329954,0.04474,0.2045,4.807355,-0.1456038
variable 1,variable 33,0.20393,0.06699176,0.017680004,0.20393,5.169925,0.37005168
variable 1,variable 128,0.20034,0.19893265,0.046269998,0.20034,4.5849624,0.03751473
variable 1,variable 133,0.20034,0.19289777,0.03084001,0.20034,4.5849624,0.08626843
variable 1,variable 85,0.20012,0.19967504,0.027270004,0.20012,3.807355,0.021094333
variable 1,variable 89,0.20012,0.19931008,0.13573,0.20012,3.807355,-0.02845903
variable 1,variable 61,0.19864,0.18724337,0.016269997,0.19864,5.169925,-0.106754996
variable 1,variable 5,0.19631,0.19606246,0.038159996,0.19631,5.087463,0.01573338
variable 1,variable 127,0.19627,0.1961381,0.07051,0.19627,4.5849624,-0.011484933
variable 1,variable 126,0.19052,0.1720109,0.09934001,0.19052,4.5849624,-0.13604818
variable 1,variable 129,0.18705,0.1847721,0.048710003,0.18705,4.5849624,0.047727253
variable 1,variable 44,0.18695,0.17857736,0.012700006,0.18695,5.169925,-0.091502145
variable 1,variable 30,0.18564,0.18519361,0.031210005,0.18564,5.169925,0.02112818
variable 1,variable 38,0.18462,0.12764555,0.06512,0.18462,5.169925,0.23869321
variable 1,variable 9,0.18381,0.18377908,0.012319997,0.18381,5.087463,0.005561136
variable 1,variable 125,0.18277,0.14398147,0.06894,0.18277,4.5849624,-0.19694802
variable 1,variable 26,0.18176,0.14245051,0.04604,0.18176,5.169925,0.19826622
variable 1,variable 28,0.17983,0.15757352,0.008890003,0.17983,5.169925,-0.14918604
variable 1,variable 71,0.17821,0.17411697,0.011399999,0.17821,5.169925,0.0639768
variable 1,variable 39,0.17777,0.13614228,0.06729,0.17777,5.169925,0.20402873
variable 1,variable 34,0.17637,0.07210501,0.029709995,0.17637,5.169925,0.3229009
variable 1,variable 37,0.17608,0.106945075,0.023370005,0.17608,5.169925,0.26293522
variable 1,variable 35,0.17495,0.09067643,0.02779001,0.17495,5.169925,0.29029912
variable 1,variable 11,0.17348,0.15377854,0.02358,0.17348,5.087463,0.14036189
variable 1,variable 29,0.17012,0.15065755,0.0116799995,0.17012,5.169925,-0.13950789
variable 1,variable 99,0.16744,0.16737926,0.1354,0.16744,3.807355,0.0077935667
variable 1,variable 104,0.16744,0.13748302,0.027359992,0.16744,3.807355,0.17308086
variable 1,variable 31,0.16168,0.15450774,0.028819993,0.16168,5.169925,0.08468916
variable 1,variable 42,0.16162,0.15664026,0.02174,0.16162,5.0,0.07056735
variable 1,variable 41,0.15659,0.119409785,0.019329995,0.15659,5.169925,-0.19282171
variable 1,variable 94,0.15639,0.14741614,0.027349994,0.15639,3.807355,0.09473044
variable 1,variable 100,0.15639,0.11693506,0.04073,0.15639,3.807355,0.19863266
variable 1,variable 27,0.15618,0.15615387,0.02375,0.15618,5.169925,0.0051103416
variable 1,variable 2,0.15328,0.15109937,0.01873,0.15328,5.087463,-0.04669725
variable 1,variable 130,0.15205,0.1473344,0.0621,0.15205,4.5849624,0.068670265
variable 1,variable 7,0.15134,0.14068535,0.03656999,0.15134,5.087463,0.10322136
variable 1,variable 86,0.14878,0.148475,0.12721,0.14878,4.807355,-0.017464034
variable 1,variable 95,0.1377,0.13738687,0.12603001,0.1377,4.807355,-0.01769546
variable 1,variable 109,0.09328,-0.16426171,0.0,-3.4028235E38,2.0,0.5074857
variable 1,variable 103,0.03428,0.034262504,0.027739998,0.03428,2.5849626,-0.004182595
